"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"0120121565","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121565","AuthorsNamesList","zelkowitz,marvin","thebookcom","null"
"0120121573","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121573","AuthorsNamesList","derome,","librairie la canopee. inc.","null"
"0120121573","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"0120121573","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121581","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121581","AuthorsNamesList","desbillons,","librairie la canopee. inc.","null"
"0120121581","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"0120121581","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","bookarama, inc","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","free postage ! @thebookcompany","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","lakeside books","null"
"012012159X","AuthorsNamesList","valmore,desbordes","librairie la canopee. inc.","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"012012159X","AuthorsNamesList","zelkowitz,marvin","thebookcom","null"
"0120121603","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121603","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121603","AuthorsNamesList","desboulmiers,","librairie la canopee. inc.","null"
"0120121603","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"0120121603","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121603","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121611","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121611","AuthorsNamesList","deschamps,","librairie la canopee. inc.","null"
"0120121611","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"012012162X","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"012012162X","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"012012162X","AuthorsNamesList","deschamps,","librairie la canopee. inc.","null"
"012012162X","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"012012162X","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"012012162X","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"012012162X","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121638","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121638","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121638","AuthorsNamesList","deschanel,","librairie la canopee. inc.","null"
"0120121638","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"0120121638","AuthorsNamesList","zelkowitz,marvin; hurson,a.","revaluation books","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","blackwell online","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","books2anywhere.com","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","browns books","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","lakeside books","null"
"0120121646","AuthorsNamesList","deseille,","librairie la canopee. inc.","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","papamedia.com","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121646","AuthorsNamesList","zelkowitz,marvin","stratford books","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","betterworld.com","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","blackwell online","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","browns books","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121654","AuthorsNamesList","desessarts,","librairie la canopee. inc.","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121654","AuthorsNamesList","zelkowitz,marvin","stratford books","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","blackwell online","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","bobs books","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","books down under","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","browns books","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","gunars store","null"
"0120121662","AuthorsNamesList","desfontaines,","librairie la canopee. inc.","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121662","AuthorsNamesList","zelkowitz,marvin","stratford books","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","blackwell online","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","browns books","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121670","AuthorsNamesList","desgranges,","librairie la canopee. inc.","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","limelight bookshop","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","livrenoir","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","paperbackshop-us","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","quartermelon","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120121670","AuthorsNamesList","zelkowitz,marvin","stratford books","null"
"0120121689","AuthorsNamesList","zelkowitz,marvin","a1books","null"
"0120121689","AuthorsNamesList","zelkowitz,marvin; tseng,chauwen","bobs books","null"
"0120121689","AuthorsNamesList","zelkowitz,marvin; tseng,chauwen","books down under","null"
"0120121689","AuthorsNamesList","zelkowitz,marvin","caiman","null"
"0120121689","AuthorsNamesList","desguerrois,","librairie la canopee. inc.","null"
"0120121689","AuthorsNamesList","zelkowitz,marvin","revaluation books","null"
"0120421712","AuthorsNamesList","aboelela,emad","a1books","null"
"0120421712","AuthorsNamesList","aboelela,emad","best book deals","null"
"0120421712","AuthorsNamesList","aboelela,emad","blackwell online","null"
"0120421712","AuthorsNamesList","aboelela,emad","bobs books","null"
"0120421712","AuthorsNamesList","aboelela,emad","book lovers usa","null"
"0120421712","AuthorsNamesList","aboelela,emad","books down under","null"
"0120421712","AuthorsNamesList","aboelela,emad","books2anywhere.com","null"
"0120421712","AuthorsNamesList","aboelela,emad","browns books","null"
"0120421712","AuthorsNamesList","aboelela,emad","caiman","null"
"0120421712","AuthorsNamesList","aboelela,emad","free postage ! @thebookcompany","null"
"0120421712","AuthorsNamesList","aboelela,emad","gunars store","null"
"0120421712","AuthorsNamesList","aboelela,emad","gunter koppon","null"
"0120421712","AuthorsNamesList","aboelela,emad","lakeside books","null"
"0120421712","AuthorsNamesList","aboelela,emad","limelight bookshop","null"
"0120421712","AuthorsNamesList","aboelela,emad","papamedia.com","null"
"0120421712","AuthorsNamesList","aboelela,emad","powell's  books","null"
"0120421712","AuthorsNamesList","aboelela,emad","quartermelon","null"
"0120421712","AuthorsNamesList","aboelela,emad","revaluation books","null"
"0120421712","AuthorsNamesList","aboelela,emad","sarl culture-factory","null"
"0120421712","AuthorsNamesList","aboelela,emad","speedy books shipping from usa!","null"
"0120421712","AuthorsNamesList","aboelela,emad","stratford books","null"
"0120421712","AuthorsNamesList","aboelela,emad","the book depository","null"
"0120421712","AuthorsNamesList","aboelela,emad","thebookcom","null"
"0120421712","AuthorsNamesList","aboelela,emad","worldofbooks","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","a1books","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","blackwell online","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","bobs books","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","books down under","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","books2anywhere.com","null"
"0120455994","AuthorsNamesList","aiken,peter","browns books","null"
"0120455994","AuthorsNamesList","allen,david","caiman","null"
"0120455994","AuthorsNamesList","aiken,peter","free postage ! @thebookcompany","null"
"0120455994","AuthorsNamesList","aiken,peter","gunars store","null"
"0120455994","AuthorsNamesList","aiken,peter","gunter koppon","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","lakeside books","null"
"0120455994","AuthorsNamesList","aiken,peter","limelight bookshop","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","papamedia.com","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","paperbackshop-us","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","paperbackworld.de","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","quartermelon","null"
"0120455994","AuthorsNamesList","allen,david; aiken,peter","revaluation books","null"
"0120455994","AuthorsNamesList","aiken,peter","the book depository","null"
"0120455994","AuthorsNamesList","aiken,peter","thebookcom","null"
"0120455994","AuthorsNamesList","aiken,peter","worldofbooks","null"
"0120510405","AuthorsNamesList","allen,bryce","a1books","null"
"0120510405","AuthorsNamesList","allen,bryce","avol's bookstore","null"
"0120510405","AuthorsNamesList","allen,bryce","bookmantra.com","null"
"0120510405","AuthorsNamesList","allen,bryce","books2anywhere.com","null"
"0120510405","AuthorsNamesList","allen,bryce","caiman","null"
"0120510405","AuthorsNamesList","allen,bryce","free postage ! @thebookcompany","null"
"0120510405","AuthorsNamesList","allen,bryce","ihs atp","null"
"0120510405","AuthorsNamesList","allen,bryce","lakeside books","null"
"0120510405","AuthorsNamesList","allen,bryce","limelight bookshop","null"
"0120510405","AuthorsNamesList","allen,bryce","papamedia.com","null"
"0120510405","AuthorsNamesList","allen,bryce","paperbackshop-us","null"
"0120510405","AuthorsNamesList","allen,bryce","paperbackworld.de","null"
"0120510405","AuthorsNamesList","allen,bryce","primrose hill books ba","null"
"0120510405","AuthorsNamesList","allen,bryce","quartermelon","null"
"0120510405","AuthorsNamesList","allen,bryce","revaluation books","null"
"0120510405","AuthorsNamesList","allen,bryce","thebookcom","null"
"0120510405","AuthorsNamesList","allen,bryce","yoyo's books","null"
"0120828103","AuthorsNamesList","bauer,barr","bookbox","null"
"0120828103","AuthorsNamesList","bauer,barr","books2anywhere.com","null"
"0120828103","AuthorsNamesList","bauer,barr","brockport college foundation -- books","null"
"0120828103","AuthorsNamesList","bauer,barr","caiman","null"
"0120828103","AuthorsNamesList","bauer,barr","free postage ! @thebookcompany","null"
"0120828103","AuthorsNamesList","bauer,barr","get used books","null"
"0120828103","AuthorsNamesList","bauer,barr","goldyne","null"
"0120828103","AuthorsNamesList","bauer,barr","lakeside books","null"
"0120828103","AuthorsNamesList","bauer,barr","limelight bookshop","null"
"0120828103","AuthorsNamesList","bauer,barr","macysbook","null"
"0120828103","AuthorsNamesList","bauer,barr","papamedia.com","null"
"0120828103","AuthorsNamesList","bauer,barr","paperbackshop-us","null"
"0120828103","AuthorsNamesList","bauer,barr","paperbackworld.de","null"
"0120828103","AuthorsNamesList","bauer,barr","quartermelon","null"
"0120828103","AuthorsNamesList","bauer,barr","revaluation books","null"
"0120828103","AuthorsNamesList","bauer,barr","thebookcom","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","a1books","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","aha-buch","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","allenac","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","ashleyjohnson","null"
"0120884070","AuthorsNamesList","witten,ian","best book deals","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","blackwell online","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","bobs books","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","books down under","null"
"0120884070","AuthorsNamesList","witten,ian","browns books","null"
"0120884070","AuthorsNamesList","witten,ian","caiman","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","dvd legacy","null"
"0120884070","AuthorsNamesList","frank,eibe","gunars store","null"
"0120884070","AuthorsNamesList","frank,eibe","gunter koppon","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","happybook","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","international books","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","lakeside books","null"
"0120884070","AuthorsNamesList","witten,ian","limelight bookshop","null"
"0120884070","AuthorsNamesList","witten,ian","macysbook","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","papamedia.com","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","paperbackworld.de","null"
"0120884070","AuthorsNamesList","witten,ian","powell's  books","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","quartermelon","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","reliable book service","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","revaluation books","null"
"0120884070","AuthorsNamesList","witten,ian","sarl culture-factory","null"
"0120884070","AuthorsNamesList","witten,ian","speedy books shipping from usa!","null"
"0120884070","AuthorsNamesList","witten,ian","sunmark store","null"
"0120884070","AuthorsNamesList","witten,ian","textbooksnow","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","textbookxdotcom","null"
"0120884070","AuthorsNamesList","witten,ian","the book depository","null"
"0120884070","AuthorsNamesList","frank,eibe; witten,ian","versandantiquariat robert a. mueller","null"
"0120884070","AuthorsNamesList","frank,eibe","worldofbooks","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","a1books","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","aha-buch","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","alphacraze.com","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","blackwell online","null"
"0120884224","AuthorsNamesList","farrel,adrian","bobs books","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","book lovers usa","null"
"0120884224","AuthorsNamesList","farrel,adrian","caiman","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","cobu gmbh & co. kg","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","college book service","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","dvd legacy","null"
"0120884224","AuthorsNamesList","farrel,adrian","gunars store","null"
"0120884224","AuthorsNamesList","farrel,adrian","gunter koppon","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","lakeside books","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","movies with a smile","null"
"0120884224","AuthorsNamesList","farrel,adrian","paperbackshop-us","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","paperbackworld.de","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","players quest","null"
"0120884224","AuthorsNamesList","farrel,adrian","powell's  books","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","quartermelon","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","revaluation books","null"
"0120884224","AuthorsNamesList","farrel,adrian","sarl culture-factory","null"
"0120884224","AuthorsNamesList","farrel,adrian","swoop","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","textbookxdotcom","null"
"0120884224","AuthorsNamesList","farrel,adrian","the book depository","null"
"0120884224","AuthorsNamesList","bryskin,igor; farrel,adrian","versandantiquariat robert a. mueller","null"
"0120884224","AuthorsNamesList","farrel,adrian","worldofbooks","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","a1books","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","ashleyjohnson","null"
"0120884364","AuthorsNamesList","stone,debbie; minocha,shailey; woodroffe,mark","bobs books","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; woodroffe,mark","book lovers usa","null"
"0120884364","AuthorsNamesList","stone,debbie; minocha,shailey; woodroffe,mark","books down under","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; woodroffe,mark","books2anywhere.com","null"
"0120884364","AuthorsNamesList","stone,debbie","caiman","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","ebookmine","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie","gunars store","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie","htbook","null"
"0120884364","AuthorsNamesList","stone,debbie","limelight bookshop","null"
"0120884364","AuthorsNamesList","stone,debbie","papamedia.com","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; woodroffe,mark","paperbackshop-us","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","paperbackworld.de","null"
"0120884364","AuthorsNamesList","stone,debbie","powell's  books","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","quartermelon","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","revaluation books","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","stratford books","null"
"0120884364","AuthorsNamesList","stone,debbie","the book depository","null"
"0120884364","AuthorsNamesList","jarrett,caroline; stone,debbie; minocha,shailey; woodroffe,mark","versandantiquariat robert a. mueller","null"
"0120884763","AuthorsNamesList","franklin,mark; hadimioglu,haldun; crowley,patrick; onufryk,peter","a1books","null"
"0120884763","AuthorsNamesList","franklin,mark","caiman","null"
"0120884763","AuthorsNamesList","franklin,mark","papamedia.com","null"
"0120884763","AuthorsNamesList","crowley,patrick","powell's  books","null"
"0120884763","AuthorsNamesList","franklin,mark","reliable book service","null"
"0120884763","AuthorsNamesList","franklin,mark; hadimioglu,haldun; crowley,patrick; onufryk,peter","revaluation books","null"
"0120884763","AuthorsNamesList","franklin,mark","the book depository","null"
"0120884771","AuthorsNamesList","varghese,george","a1books","null"
"0120884771","AuthorsNamesList","varghese,george","aha-buch","null"
"0120884771","AuthorsNamesList","varghese,george","best book deals","null"
"0120884771","AuthorsNamesList","varghese,george","bobs books","null"
"0120884771","AuthorsNamesList","varghese,george","books down under","null"
"0120884771","AuthorsNamesList","varghese,george","gunars store","null"
"0120884771","AuthorsNamesList","varghese,george","gunter koppon","null"
"0120884771","AuthorsNamesList","varghese,george","htbook","null"
"0120884771","AuthorsNamesList","varghese,george","lakeside books","null"
"0120884771","AuthorsNamesList","varghese,george","limelight bookshop","null"
"0120884771","AuthorsNamesList","varghese,george","papamedia.com","null"
"0120884771","AuthorsNamesList","varghese,george","powell's  books","null"
"0120884771","AuthorsNamesList","varghese,george","quartermelon","null"
"0120884771","AuthorsNamesList","varghese,george","reliable book service","null"
"0120884771","AuthorsNamesList","varghese,george","speedy books shipping from usa!","null"
"0120884771","AuthorsNamesList","varghese,george","stratford books","null"
"0120884771","AuthorsNamesList","varghese,george","thebookcom","null"
"0120884771","AuthorsNamesList","varghese,george","worldofbooks","null"
"0120884828","AuthorsNamesList","gould,david","a1books","null"
"0120884828","AuthorsNamesList","gould,david","blackwell online","null"
"0120884828","AuthorsNamesList","gould,david","bobs books","null"
"0120884828","AuthorsNamesList","gould,david","books down under","null"
"0120884828","AuthorsNamesList","gould,david","books2anywhere.com","null"
"0120884828","AuthorsNamesList","gould,david","browns books","null"
"0120884828","AuthorsNamesList","gould,david","caiman","null"
"0120884828","AuthorsNamesList","gould,david","gunars store","null"
"0120884828","AuthorsNamesList","gould,david","gunter koppon","null"
"0120884828","AuthorsNamesList","gould,david","lakeside books","null"
"0120884828","AuthorsNamesList","gould,david","limelight bookshop","null"
"0120884828","AuthorsNamesList","gould,david","paperbackshop-us","null"
"0120884828","AuthorsNamesList","gould,david","paperbackworld.de","null"
"0120884828","AuthorsNamesList","gould,david","powell's  books","null"
"0120884828","AuthorsNamesList","gould,david","quartermelon","null"
"0120884828","AuthorsNamesList","gould,david","revaluation books","null"
"0120884828","AuthorsNamesList","gould,david","the book depository","null"
"0120884828","AuthorsNamesList","gould,david","versandantiquariat robert a. mueller","null"
"0120884828","AuthorsNamesList","gould,david","worldofbooks","null"
"0120885603","AuthorsNamesList","ni,lionel; zheng,pei","a1books","null"
"0120885603","AuthorsNamesList","ni,lionel; zheng,pei","aha-buch","null"
"0120885603","AuthorsNamesList","ni,lionel; zheng,pei","alphacraze.com","null"
"0120885603","AuthorsNamesList","zheng,pei","bobs books","null"
"0120885603","AuthorsNamesList","ni,lionel; zheng,pei","book lovers usa","null"
"0120885603","AuthorsNamesList","zheng,pei","books down under","null"
"0120885603","AuthorsNamesList","zheng,pei","browns books","null"
"0120885603","AuthorsNamesList","zheng,pei","caiman","null"
"0120885603","AuthorsNamesList","ni,lionel; zheng,pei","cobu gmbh & co. kg","null"
"0120885603","AuthorsNamesList","ni,lionel; zheng,pei","college book service","null"
"0120885603","AuthorsNamesList","ni,lionel; zheng,pei","dvd legacy","null"
