,flight_number,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate
21,AA-3842-MSP-ORD,2011-12-30 06:00:00,2011-12-30 06:00:00,E14,2011-12-30 07:30:00,2011-12-30 07:10:00,G3
22,AA-1544-SAN-ORD,2011-12-30 11:25:00,2011-12-30 12:27:00,27,2011-12-30 17:25:00,2011-12-30 18:42:00,K12
23,AA-649-ORD-SNA,,,-,2011-12-30 15:50:00,2011-12-30 00:00:00,7
24,AA-1640-MIA-MCO,2011-12-30 18:30:00,2011-12-30 00:00:00,D43,2011-12-30 19:25:00,2011-12-30 00:00:00,14
25,AA-518-MIA-JFK,2011-12-30 06:30:00,2011-12-30 06:27:00,D11,2011-12-30 09:15:00,2011-12-30 09:14:00,8
26,AA-2525-DFW-MIA,2011-12-30 07:25:00,2011-12-30 07:25:00,D30,2011-12-30 11:10:00,2011-12-30 10:56:00,D1
27,AA-1434-DFW-MCO,2011-12-30 07:15:00,2011-12-30 07:10:00,C12,2011-12-30 10:35:00,2011-12-30 10:42:00,17
28,AA-59-JFK-SFO,2011-12-30 07:10:00,2011-12-30 07:08:00,42,2011-12-30 10:45:00,2011-12-30 10:43:00,57
29,AA-415-BOS-ORD,2011-12-30 08:35:00,2011-12-30 08:58:00,B31,2011-12-30 10:40:00,2011-12-30 10:48:00,H17
30,AA-222-LAX-BOS,2011-12-30 07:10:00,2011-12-30 07:03:00,48B,2011-12-30 15:30:00,2011-12-30 15:37:00,B28
31,AA-3823-LAX-DEN,2011-12-30 21:00:00,2011-12-30 00:00:00,44F,2011-12-31 00:15:00,2011-12-31 00:00:00,A49
32,AA-1165-JFK-MIA,2011-12-30 06:59:00,2011-12-30 06:51:00,39,2011-12-30 10:34:00,2011-12-30 10:00:00,D50
33,AA-3786-IAH-ORD,2011-12-30 16:00:00,2011-12-30 16:25:00,A29,2011-12-30 18:40:00,2011-12-30 19:10:00,G11
34,AA-4330-CVG-ORD,2011-12-30 15:35:00,2011-12-30 16:09:00,5,2011-12-30 16:00:00,2011-12-30 16:22:00,G6B
35,AA-3468-CVG-MIA,2011-12-30 07:00:00,2011-12-30 06:51:00,1,2011-12-30 09:55:00,2011-12-30 09:15:00,D60J
36,AA-204-LAX-MCO,2011-12-30 23:25:00,2011-12-30 00:00:00,46A,2011-12-31 06:55:00,2011-12-31 00:00:00,14
37,AA-466-IAH-MIA,2011-12-30 06:00:00,2011-12-30 05:59:00,A27,2011-12-30 09:20:00,2011-12-30 09:16:00,D1
38,AA-3-JFK-LAX,2011-12-30 12:00:00,2011-12-30 11:50:00,38,2011-12-30 15:15:00,2011-12-30 14:48:00,46A
39,AA-1007-MIA-PHX,2011-12-30 16:55:00,2011-12-30 16:53:00,D19,2011-12-30 20:05:00,2011-12-30 19:52:00,6
40,AA-271-MIA-LAX,2011-12-30 11:35:00,2011-12-30 12:29:00,D20,2011-12-30 14:25:00,2011-12-30 00:00:00,46B
41,AA-643-MIA-ORD,2011-12-30 07:10:00,2011-12-30 07:10:00,D3,2011-12-30 09:35:00,2011-12-30 09:16:00,H15
42,AA-4198-ORD-CLE,2011-12-30 10:40:00,2011-12-30 10:35:00,H2,2011-12-30 12:55:00,2011-12-30 13:17:00,A3
43,AA-400-DFW-JFK,2011-12-30 10:40:00,2011-12-30 11:47:00,C6,2011-12-30 14:59:00,2011-12-30 15:55:00,33
44,AA-1886-BOS-MIA,2011-12-30 10:45:00,2011-12-30 10:43:00,B32,2011-12-30 14:20:00,2011-12-30 13:59:00,D15
45,AA-1917-JFK-MCO,2011-12-30 14:55:00,2011-12-30 14:51:00,44,2011-12-30 17:55:00,2011-12-30 17:36:00,16
46,AA-2957-DFW-CVG,2011-12-30 07:55:00,2011-12-30 08:00:00,B11,2011-12-30 11:05:00,2011-12-30 11:07:00,3
47,UA-1500-IAH-GUA,2011-12-30 08:50:00,2011-12-30 08:56:00,E6,2011-12-30 11:43:00,2011-12-30 11:40:00,15
48,UA-3515-IAD-MSP,2011-12-30 08:19:00,2011-12-30 08:23:00,D10,2011-12-30 10:09:00,2011-12-30 09:55:00,E10
49,UA-664-ORD-PHL,2011-12-30 13:35:00,2011-12-30 13:46:00,C29,2011-12-30 16:38:00,2011-12-30 16:43:00,D9
50,UA-414-LAX-SFO,2011-12-30 06:00:00,2011-12-30 05:58:00,81,2011-12-30 07:26:00,2011-12-30 07:15:00,74
51,UA-257-JFK-SFO,2011-12-30 14:30:00,2011-12-30 14:28:00,10,2011-12-30 18:14:00,2011-12-30 18:00:00,81
52,UA-62-IAH-EWR,2011-12-30 14:30:00,2011-12-30 15:10:00,C-39,2011-12-30 19:03:00,2011-12-30 19:16:00,C71
53,UA-843-LAX-ORD,2011-12-30 14:10:00,2011-12-30 15:45:00,72,2011-12-30 20:12:00,2011-12-30 21:33:00,C19
54,UA-248-PHX-ORD,2011-12-30 12:52:00,2011-12-30 13:05:00,5,2011-12-30 17:13:00,2011-12-30 17:28:00,B5
55,UA-248-PHX-ORD,2011-12-30 12:52:00,2011-12-30 13:02:00,5,2011-12-30 17:13:00,2011-12-30 17:20:00,B5
56,UA-397-JFK-SFO,2011-12-30 08:25:00,2011-12-30 08:24:00,9,2011-12-30 12:14:00,2011-12-30 12:14:00,82
57,UA-2704-DTW-PHX,2011-12-30 11:15:00,2011-12-30 11:15:00,D14,2011-12-30 13:40:00,2011-12-30 13:08:00,A24
58,UA-2515-DFW-CLT,2011-12-30 07:00:00,2011-12-30 07:00:00,E36,2011-12-30 10:26:00,2011-12-30 10:16:00,B10
59,UA-3373-IAD-PHL,2011-12-30 08:30:00,2011-12-30 08:30:00,A5D,2011-12-30 09:25:00,2011-12-30 09:21:00,D7
60,UA-2906-PHL-MCO,2011-12-30 15:50:00,2011-12-30 15:50:00,B13,2011-12-30 18:23:00,2011-12-30 18:14:00,54
61,UA-938-DEN-ORD,2011-12-30 15:54:00,2011-12-30 15:53:00,B36,2011-12-30 19:17:00,2011-12-30 20:31:00,C21
62,UA-3099-PHX-PHL,2011-12-30 11:55:00,2011-12-30 11:55:00,A7,2011-12-30 18:17:00,2011-12-30 18:14:00,A24
63,UA-3925-IAD-ORF,2011-12-30 08:42:00,2011-12-30 09:25:00,A1A,2011-12-30 09:55:00,2011-12-30 10:19:00,-
64,UA-5487-SFO-MRY,2011-12-30 10:37:00,,76A,2011-12-30 11:24:00,,-
65,UA-3050-PHX-CLT,2011-12-30 11:05:00,2011-12-30 11:05:00,A14,2011-12-30 16:57:00,2011-12-30 16:50:00,B6
66,UA-828-SFO-ORD,2011-12-30 23:00:00,2011-12-30 23:00:00,100,2011-12-31 05:03:00,2011-12-31 05:03:00,C29
67,UA-2830-MCO-CLT,2011-12-30 15:27:00,2011-12-30 15:27:00,58,2011-12-30 17:05:00,2011-12-30 17:00:00,B3
68,UA-37-EWR-MCO,2011-12-30 13:29:00,2011-12-30 13:43:00,C133,2011-12-30 16:22:00,2011-12-30 16:19:00,39
69,UA-37-EDI-EWR,2011-12-30 09:05:00,2011-12-30 09:02:00,-,2011-12-30 11:53:00,2011-12-30 11:32:00,B63
70,UA-2708-EWR-CLT,2011-12-30 14:55:00,2011-12-30 14:55:00,A37,2011-12-30 16:53:00,2011-12-30 16:42:00,C13
71,UA-233-LAX-JFK,2011-12-30 16:25:00,2011-12-30 16:25:00,75B,2011-12-31 00:44:00,2011-12-31 00:44:00,3
72,UA-2726-FLL-PHL,2011-12-30 16:00:00,2011-12-30 16:00:00,E3,2011-12-30 18:46:00,2011-12-30 18:28:00,C17
73,UA-2945-PHL-CLT,2011-12-30 00:00:00,2011-12-30 07:11:00,C21,2011-12-30 13:45:00,2011-12-30 13:22:00,C14
74,UA-6273-YYC-SFO,2011-12-30 07:45:00,2011-12-30 07:45:00,-,2011-12-30 09:53:00,2011-12-30 10:11:00,77A
75,UA-2314-ATL-PHL,2011-12-30 14:55:00,2011-12-30 14:55:00,D23,2011-12-30 17:00:00,2011-12-30 16:46:00,C26
76,UA-382-IAD-LAX,2011-12-30 12:20:00,2011-12-30 12:18:00,C27,2011-12-30 15:08:00,2011-12-30 14:46:00,76
77,UA-382-IAD-LAX,2011-12-30 12:20:00,2011-12-30 12:18:00,C27,2011-12-30 15:08:00,2011-12-30 14:45:00,75B
78,UA-858-PVG-SFO,2011-12-30 13:45:00,2011-12-30 13:45:00,75,2011-12-30 08:27:00,2011-12-30 08:11:00,97
79,UA-854-SFO-IAH,2011-12-30 07:35:00,2011-12-30 07:30:00,92,2011-12-30 13:30:00,2011-12-30 13:01:00,C16
80,CO-1586-IAH-MCO,2011-12-30 19:00:00,2011-12-30 19:04:00,-,2011-12-30 22:12:00,2011-12-30 22:18:00,-
81,CO-1694-LAX-IAH,2011-12-30 19:56:00,2011-12-30 19:56:00,-,2011-12-30 00:59:00,2011-12-30 00:59:00,-
82,CO-1088-CLE-IAH,2011-12-30 08:35:00,2011-12-30 08:40:00,-,2011-12-30 10:55:00,2011-12-30 10:42:00,-
83,CO-16-LAX-EWR,2011-12-30 10:25:00,2011-12-30 10:30:00,-,2011-12-30 18:39:00,2011-12-30 18:47:00,-
84,CO-58-DEN-IAH,2011-12-30 11:30:00,2011-12-30 11:35:00,-,2011-12-30 14:56:00,2011-12-30 14:46:00,-
85,CO-1193-EWR-MCO,2011-12-30 09:15:00,2011-12-30 09:13:00,-,2011-12-30 12:16:00,2011-12-30 12:10:00,-
86,CO-1023-IAH-DEN,2011-12-30 11:40:00,2011-12-30 11:44:00,-,2011-12-30 13:20:00,2011-12-30 13:30:00,-
87,CO-1250-MIA-IAH,2011-12-30 14:49:00,2011-12-30 14:52:00,-,2011-12-30 16:50:00,2011-12-30 16:55:00,-
88,CO-62-IAH-EWR,2011-12-30 14:30:00,2011-12-30 15:10:00,-,2011-12-30 19:03:00,2011-12-30 19:16:00,-
89,CO-52-IAH-LAX,2011-12-30 07:35:00,2011-12-30 07:38:00,-,2011-12-30 09:30:00,2011-12-30 09:18:00,-
90,CO-1614-LAX-IAH,2011-12-30 00:30:00,2011-12-30 00:37:00,-,2011-12-30 05:36:00,2011-12-30 05:30:00,-
91,CO-89-IAH-EWR,2011-12-30 06:00:00,2011-12-30 05:57:00,-,2011-12-30 10:20:00,2011-12-30 10:00:00,-
92,CO-1090-BOS-IAH,2011-12-30 09:50:00,2011-12-30 09:47:00,-,2011-12-30 13:20:00,2011-12-30 13:06:00,-
93,CO-45-EWR-MIA,2011-12-30 15:50:00,2011-12-30 16:09:00,-,2011-12-30 19:05:00,2011-12-30 19:04:00,-
94,CO-63-EWR-IAH,2011-12-30 17:25:00,2011-12-30 17:21:00,-,2011-12-30 20:30:00,2011-12-30 20:01:00,-
95,CO-50-CLE-EWR,2011-12-30 14:55:00,2011-12-30 14:49:00,-,2011-12-30 16:53:00,2011-12-30 16:37:00,-
96,CO-1561-PHX-IAH,2011-12-30 08:05:00,2011-12-30 08:01:00,-,2011-12-30 11:37:00,2011-12-30 11:42:00,-
97,CO-47-IAH-LAX,2011-12-30 19:10:00,2011-12-30 19:16:00,-,2011-12-30 21:06:00,2011-12-30 20:51:00,-
98,AA-1221-MCO-ORD,2011-12-27 20:00:00,2011-12-27 19:54:00,15,2011-12-27 21:50:00,2011-12-27 21:45:00,K5
99,AA-4307-ORD-DTW,2011-12-27 18:45:00,2011-12-27 18:45:00,G19A,2011-12-27 21:10:00,2011-12-27 21:09:00,D28
100,AA-616-DFW-DTW,2011-12-27 09:05:00,2011-12-27 09:03:00,A19,2011-12-27 12:35:00,2011-12-27 12:41:00,D32
101,AA-431-MIA-SFO,2011-12-27 08:35:00,2011-12-27 08:36:00,D3,2011-12-27 11:50:00,2011-12-27 11:33:00,57
102,AA-3756-ORD-SLC,2011-12-27 12:15:00,2011-12-27 12:08:00,G19,2011-12-27 14:45:00,2011-12-27 14:27:00,A1
103,AA-2050-ORD-MIA,2011-12-27 10:40:00,2011-12-27 10:39:00,K15,2011-12-27 14:45:00,2011-12-27 14:45:00,D23
104,AA-3804-PHL-ORD,2011-12-27 14:35:00,2011-12-27 14:37:00,A7,2011-12-27 16:05:00,2011-12-27 15:55:00,H2
105,AA-1664-MIA-ATL,2011-12-27 10:15:00,2011-12-27 10:18:00,D14,2011-12-27 12:10:00,2011-12-27 12:30:00,T11
106,AA-789-ORD-DEN,2011-12-27 13:05:00,2011-12-27 13:02:00,H11A,2011-12-27 14:35:00,2011-12-27 14:26:00,A49
107,AA-1733-ORD-PHX,2011-12-27 19:45:00,2011-12-27 20:12:00,H10,2011-12-27 22:30:00,2011-12-27 00:00:00,6
108,AA-1733-ORD-PHX,2011-12-27 19:45:00,2011-12-27 20:12:00,H10,2011-12-27 22:30:00,2011-12-27 00:00:00,6
109,AA-4277-CVG-JFK,2011-12-27 12:10:00,2011-12-27 12:57:00,1,2011-12-27 14:15:00,2011-12-27 15:12:00,32I
110,AA-2312-DFW-DTW,2011-12-27 20:25:00,2011-12-27 00:00:00,A38,2011-12-27 23:50:00,2011-12-27 00:00:00,D32
111,AA-85-JFK-SFO,2011-12-27 15:05:00,2011-12-27 15:01:00,41,2011-12-27 18:30:00,2011-12-27 18:22:00,58B
112,AA-404-MIA-MCO,2011-12-27 06:45:00,2011-12-27 06:41:00,D43,2011-12-27 07:45:00,2011-12-27 07:42:00,14
113,AA-446-DFW-PHL,2011-12-27 11:50:00,2011-12-27 11:48:00,D34,2011-12-27 15:50:00,2011-12-27 16:05:00,A9
114,AA-2268-PHX-ORD,2011-12-27 07:15:00,2011-12-27 07:11:00,6,2011-12-27 11:35:00,2011-12-27 11:19:00,K9
115,AA-4344-ORD-DTW,2011-12-27 11:45:00,2011-12-27 11:50:00,G2B,2011-12-27 14:00:00,2011-12-27 14:13:00,D28
116,AA-484-DFW-MIA,2011-12-27 16:15:00,2011-12-27 16:16:00,D17,2011-12-27 19:55:00,2011-12-27 20:11:00,D11
117,AA-3979-CVG-ORD,2011-12-27 07:30:00,2011-12-27 07:46:00,1,2011-12-27 08:00:00,2011-12-27 08:07:00,H4
118,AA-3063-SLC-LAX,2011-12-27 20:20:00,2011-12-27 20:16:00,A3,2011-12-27 21:20:00,2011-12-27 00:00:00,44H
119,AA-3859-IAH-ORD,2011-12-27 07:10:00,2011-12-27 07:45:00,A29,2011-12-27 09:40:00,2011-12-27 10:04:00,G17
120,AA-3842-MSP-ORD,2011-12-27 06:00:00,2011-12-27 06:00:00,E12,2011-12-27 07:30:00,2011-12-27 07:34:00,G3
121,AA-1544-SAN-ORD,2011-12-27 11:25:00,2011-12-27 11:29:00,27,2011-12-27 17:25:00,2011-12-27 17:32:00,H6
122,AA-649-ORD-SNA,2011-12-27 13:30:00,2011-12-27 00:00:00,H12,2011-12-27 15:50:00,2011-12-27 00:00:00,7
123,AA-1640-MIA-MCO,2011-12-27 18:30:00,2011-12-27 00:00:00,D42,2011-12-27 19:25:00,2011-12-27 00:00:00,14
124,AA-518-MIA-JFK,2011-12-27 06:30:00,2011-12-27 06:32:00,D11,2011-12-27 09:15:00,2011-12-27 09:08:00,12
125,AA-2525-DFW-MIA,2011-12-27 07:25:00,2011-12-27 07:36:00,D30,2011-12-27 11:10:00,2011-12-27 11:11:00,D40
126,AA-1279-DFW-PHX,2011-12-27 13:00:00,2011-12-27 13:01:00,C17,2011-12-27 14:35:00,2011-12-27 14:35:00,4
127,AA-1522-SFO-ORD,2011-12-27 23:55:00,2011-12-27 00:00:00,57,2011-12-28 05:50:00,2011-12-28 00:00:00,H10
128,AA-1434-DFW-MCO,2011-12-27 07:15:00,2011-12-27 07:43:00,C33,2011-12-27 10:35:00,2011-12-27 11:02:00,17
129,AA-59-JFK-SFO,2011-12-27 07:10:00,2011-12-27 07:10:00,40,2011-12-27 10:45:00,2011-12-27 10:36:00,58B
130,AA-415-BOS-ORD,2011-12-27 08:35:00,2011-12-27 08:31:00,B35,2011-12-27 10:40:00,2011-12-27 10:29:00,H12
131,AA-222-LAX-BOS,2011-12-27 07:10:00,2011-12-27 07:08:00,47B,2011-12-27 15:30:00,2011-12-27 15:20:00,B28
132,AA-3823-LAX-DEN,2011-12-27 21:00:00,2011-12-27 00:00:00,44E,2011-12-28 00:15:00,2011-12-28 00:00:00,A49
133,AA-1165-JFK-MIA,2011-12-27 06:59:00,2011-12-27 06:54:00,43,2011-12-27 10:34:00,2011-12-27 10:01:00,D25
134,AA-3786-IAH-ORD,2011-12-27 16:00:00,2011-12-27 15:53:00,A29,2011-12-27 18:40:00,2011-12-27 18:32:00,G19
135,AA-3468-CVG-MIA,2011-12-27 07:00:00,2011-12-27 07:07:00,1,2011-12-27 09:55:00,2011-12-27 10:11:00,D60K
136,AA-204-LAX-MCO,2011-12-27 23:25:00,2011-12-27 00:00:00,47A,2011-12-28 06:55:00,2011-12-28 00:00:00,TBA
137,AA-466-IAH-MIA,2011-12-27 06:00:00,2011-12-27 05:57:00,A27,2011-12-27 09:20:00,2011-12-27 09:03:00,D14
138,AA-3-JFK-LAX,2011-12-27 12:00:00,2011-12-27 11:56:00,40,2011-12-27 15:15:00,2011-12-27 14:49:00,46A
139,AA-1007-MIA-PHX,2011-12-27 16:55:00,2011-12-27 16:48:00,D39,2011-12-27 20:05:00,2011-12-27 19:51:00,6
140,AA-271-MIA-LAX,2011-12-27 11:35:00,2011-12-27 11:40:00,D10,2011-12-27 14:25:00,2011-12-27 14:17:00,42A
141,AA-643-MIA-ORD,2011-12-27 07:10:00,2011-12-27 07:08:00,D16,2011-12-27 09:35:00,2011-12-27 09:20:00,K15
142,AA-4198-ORD-CLE,2011-12-27 10:40:00,2011-12-27 10:35:00,G6B,2011-12-27 12:55:00,2011-12-27 12:41:00,A1
143,AA-400-DFW-JFK,2011-12-27 10:40:00,2011-12-27 10:43:00,C7,2011-12-27 14:59:00,2011-12-27 15:04:00,38
144,AA-1886-BOS-MIA,2011-12-27 10:45:00,2011-12-27 10:42:00,B35,2011-12-27 14:20:00,2011-12-27 14:11:00,D24
145,AA-1917-JFK-MCO,2011-12-27 14:55:00,2011-12-27 15:02:00,2,2011-12-27 17:55:00,2011-12-27 18:18:00,16
146,AA-3809-PHX-LAX,2011-12-27 06:00:00,2011-12-27 06:06:00,2,2011-12-27 06:40:00,2011-12-27 06:30:00,44E
147,AA-2957-DFW-CVG,2011-12-27 07:55:00,2011-12-27 07:55:00,B9B,2011-12-27 11:05:00,2011-12-27 11:03:00,3
148,UA-1500-IAH-GUA,2011-12-27 08:50:00,2011-12-27 08:59:00,E9,2011-12-27 11:43:00,2011-12-27 11:43:00,15
149,UA-3515-IAD-MSP,2011-12-27 08:19:00,2011-12-27 08:49:00,D18,2011-12-27 10:09:00,2011-12-27 10:40:00,E10
150,UA-664-ORD-PHL,2011-12-27 13:35:00,2011-12-27 13:43:00,B8,2011-12-27 16:38:00,2011-12-27 16:59:00,D9
151,UA-414-LAX-SFO,2011-12-27 06:00:00,2011-12-27 05:56:00,86,2011-12-27 07:26:00,2011-12-27 07:07:00,72
152,UA-257-JFK-SFO,2011-12-27 14:30:00,2011-12-27 14:26:00,10,2011-12-27 18:14:00,2011-12-27 17:18:00,84
153,UA-62-IAH-EWR,2011-12-27 14:30:00,2011-12-27 14:30:00,E17,2011-12-27 19:03:00,2011-12-27 18:45:00,C126
154,UA-843-LAX-ORD,2011-12-27 14:10:00,2011-12-27 14:11:00,73,2011-12-27 20:12:00,2011-12-27 19:56:00,C23
155,UA-248-PHX-ORD,2011-12-27 12:52:00,2011-12-27 12:52:00,3,2011-12-27 17:13:00,2011-12-27 17:08:00,B11
156,UA-248-PHX-ORD,2011-12-27 12:52:00,2011-12-27 12:47:00,3,2011-12-27 17:13:00,2011-12-27 17:02:00,B17
157,UA-397-JFK-SFO,2011-12-27 08:25:00,2011-12-27 08:25:00,8,2011-12-27 12:14:00,2011-12-27 11:40:00,80
158,UA-2704-DTW-PHX,2011-12-27 11:15:00,2011-12-27 11:15:00,D14,2011-12-27 13:40:00,2011-12-27 13:23:00,A3
159,UA-2515-DFW-CLT,2011-12-27 07:00:00,2011-12-27 07:00:00,E35,2011-12-27 10:26:00,2011-12-27 10:30:00,B10
160,UA-3373-IAD-PHL,2011-12-27 08:30:00,2011-12-27 08:29:00,C20,2011-12-27 09:25:00,2011-12-27 09:24:00,D7
161,UA-2906-PHL-MCO,2011-12-27 15:50:00,2011-12-27 15:50:00,B15,2011-12-27 18:23:00,2011-12-27 18:39:00,58
162,UA-938-DEN-ORD,2011-12-27 15:54:00,2011-12-27 15:50:00,B26,2011-12-27 19:17:00,2011-12-27 19:14:00,C17
163,UA-3099-PHX-PHL,2011-12-27 11:55:00,2011-12-27 11:55:00,A11,2011-12-27 18:17:00,2011-12-27 18:57:00,C27
164,UA-3925-IAD-ORF,2011-12-27 08:42:00,2011-12-27 08:43:00,A2G,2011-12-27 09:55:00,2011-12-27 09:40:00,-
165,UA-5487-SFO-MRY,2011-12-27 10:37:00,2011-12-27 11:49:00,78A,2011-12-27 11:24:00,2011-12-27 12:33:00,-
166,UA-3050-PHX-CLT,2011-12-27 11:05:00,2011-12-27 11:05:00,A3,2011-12-27 16:57:00,2011-12-27 16:52:00,B16
167,UA-828-SFO-ORD,2011-12-27 23:13:00,2011-12-27 23:13:00,87,2011-12-28 05:15:00,2011-12-28 05:15:00,C11
168,UA-2830-MCO-CLT,2011-12-27 15:27:00,2011-12-27 16:05:00,58,2011-12-27 17:05:00,2011-12-27 17:40:00,B6
169,UA-37-EWR-MCO,2011-12-27 13:29:00,2011-12-27 15:17:00,C125,2011-12-27 16:22:00,2011-12-27 17:56:00,39
170,UA-37-EDI-EWR,2011-12-27 09:05:00,2011-12-27 08:50:00,-,2011-12-27 11:53:00,2011-12-27 12:08:00,B57
171,UA-2708-EWR-CLT,2011-12-27 14:55:00,2011-12-27 14:55:00,A37,2011-12-27 16:53:00,2011-12-27 16:52:00,C7
172,UA-233-LAX-JFK,2011-12-27 16:25:00,2011-12-27 16:25:00,73,2011-12-28 00:44:00,2011-12-28 00:44:00,7
173,UA-2726-FLL-PHL,2011-12-27 16:00:00,2011-12-27 20:01:00,E3,2011-12-27 18:46:00,2011-12-27 20:26:00,C17
174,UA-2945-PHL-CLT,2011-12-27 00:00:00,2011-12-27 01:12:00,C21,2011-12-27 13:45:00,2011-12-27 14:16:00,C12
175,UA-6273-YYC-SFO,2011-12-27 07:45:00,2011-12-27 07:52:00,-,2011-12-27 09:53:00,2011-12-27 10:03:00,77A
176,UA-2314-ATL-PHL,2011-12-27 14:55:00,2011-12-27 14:55:00,D23,2011-12-27 17:00:00,2011-12-27 17:18:00,C26
177,UA-382-IAD-LAX,2011-12-27 12:20:00,2011-12-27 12:18:00,C27,2011-12-27 15:08:00,2011-12-27 14:32:00,75B
178,UA-382-IAD-LAX,2011-12-27 12:20:00,2011-12-27 12:18:00,C27,2011-12-27 15:08:00,2011-12-27 14:38:00,75B
179,UA-858-PVG-SFO,2011-12-27 13:45:00,2011-12-27 16:23:00,75,2011-12-27 08:27:00,2011-12-27 10:34:00,100
180,UA-854-SFO-IAH,2011-12-27 07:35:00,2011-12-27 07:34:00,96,2011-12-27 13:30:00,2011-12-27 13:24:00,-
181,CO-1586-IAH-MCO,2011-12-27 19:00:00,2011-12-27 19:04:00,-,2011-12-27 22:12:00,2011-12-27 22:08:00,-
182,CO-1694-LAX-IAH,2011-12-27 19:41:00,2011-12-27 19:41:00,-,2011-12-27 00:44:00,2011-12-27 00:44:00,-
183,CO-1088-CLE-IAH,2011-12-27 08:35:00,2011-12-27 08:34:00,-,2011-12-27 10:55:00,2011-12-27 10:37:00,-
184,CO-16-LAX-EWR,2011-12-27 10:25:00,2011-12-27 10:47:00,-,2011-12-27 18:39:00,2011-12-27 20:49:00,-
185,CO-58-DEN-IAH,2011-12-27 11:30:00,2011-12-27 11:43:00,-,2011-12-27 14:56:00,2011-12-27 14:49:00,-
186,CO-1193-EWR-MCO,2011-12-27 09:15:00,2011-12-27 09:13:00,-,2011-12-27 12:16:00,2011-12-27 12:18:00,-
187,CO-1023-IAH-DEN,2011-12-27 11:40:00,2011-12-27 11:51:00,-,2011-12-27 13:20:00,2011-12-27 13:30:00,-
188,CO-1250-MIA-IAH,2011-12-27 14:55:00,2011-12-27 15:01:00,-,2011-12-27 16:53:00,2011-12-27 17:04:00,-
189,CO-62-IAH-EWR,2011-12-27 14:30:00,2011-12-27 14:30:00,-,2011-12-27 19:03:00,2011-12-27 18:45:00,-
190,CO-52-IAH-LAX,2011-12-27 07:35:00,2011-12-27 07:43:00,-,2011-12-27 09:30:00,2011-12-27 09:45:00,-
